2026-07-17T10:08:31.853858
1784282919994,131.94689145077132,0.0
1784282926651,248.5252053022449,-52.85061556941557
1784282928036,365.1035191537185,-105.70123113883113
1784282929157,481.68183300519206,-52.85061556941557
1784282930506,598.2601468566656,0.0
1784282931610,714.8384607081392,-52.85061556941557
1784282932698,751.9169597325817,-175.36133239293773
1784282933807,684.2102052482932,-283.9867724321987
1784282935172,616.5034507640046,-392.61221247145966
1784282936556,548.796696279716,-501.23765251072064
1784282937657,422.4768644505922,-521.9014109583195
1784282938786,323.6869342546235,-440.5119735699553
1784282940040,265.57829494349386,-322.04945544320486
1784282941132,207.4696556323642,-203.58693731645445
1784282942266,149.36101632123456,-85.12441918970406
1784282943437,50.571086125265886,-3.734981801339842
1784282944750,-48.21884407070279,77.65445558702437
1784282945832,-52.10972911201266,205.59409698137148
1784282947145,-56.000614153322545,333.5337383757186
1784282948526,-154.79054434929122,414.9231757640828
